Name,Unit,Short_Name,Decimal_Places
None,none,_none_,0
Temperature,C,water_temp_C,2
Temperature,F,_TempF,2
Temperature,K,_TempK,0
Conductivity,mS/cm,water_conductivity_mS/cm,3
Conductivity,uS/cm,_CuS/cm,1
Specific_Cond,mS/cm,_sCmS/cm,3
Specific_Cond,uS/cm,_sCuS/cm,1
Resistivity,KOhm.cm,_RKOcm,2
Resistivity,MOhm.cm,_RMOcm,3
TDS,g/L,_TDSgL,3
TDS_coeff,TDScoef,_TDSCoef,3
Salinity,PPT,_SalPPT,2
Salinity,ppt,_SalPPT,2
DO,%,water_DO_%,1
DO,mg/L,water_DO_mg,2
DO,uMol/L,_DOuMol,2
pH,mV,water_pH_mV,1
pH,pH,water_pH,2
ORP,mV,water_ORP_mV,0
Pressure-Abs,psia,water_pressure_abs,2
Pressure-Gau,psig,_Prespsig,2
Depth,meters,water_depth_m_nonvented,3
Depth,ft,_Depft,3
Barometer,psi,water_pressure_psi,3
Barometer,Atm,_BPatm,3
Barometer,mmHg,_BPmmHg,1
Barometer,in.Hg,_BPinHg,2
Battery,volts,instrument_battery_voltage,1
Voltage,volts,_VoltV,3
Current,mAmps,_CurrentmA,2
Density,g/cm3,_DensG/cm3,2
Density,Kg/m3,_DensKg/m3,2
Density,lb/ft3,_DensLb/ft3,2
Current_Speed,cm/sec,_CurSpCm/s,2
Current_Speed,knots,_CurSpKnot,2
Current_Dir,degrees,_CurDirDeg,1
Turbidity,NTU,water_turbidity_NTU,2
Rainfall,cm,_Raincm,4
Rainfall,inches,_Rainin,4
Solar_Rad,c/cm2/m,_Solar,3
Refract_Index,N,_RefIdxN,2
Rel.Humidity,%,_RH%,1
Displacement,meters,_DispM,2
Displacement,ft,_DispFt,2
Tilt,degrees,_TiltDeg,2
Frequency,Hertz,_FreqHz,0
Ammonia, mg N/L,_NH3mg/L,2
Ammonium, mg N/L,_NH4+mg/L,2
ISE, mV,_ISEmV,1
Voltage, mV,_VoltmV,2
Date, ddmmyy,_DateDMY,0
Date, mmddyy,_DateMDY,0
Date, yymmdd,_DateYMD,0
Time, hhmmss,_TimeHMS,0
Logic_Level, Logic,_Logic,0
Air_Temp, C,_ATempC,2
Air_Temp, F,_ATempF,2
Soil_Temp, C,_STempC,2
Soil_Temp, F,_STempF,2
Elec_Temp, C,_ETempC,2
Elec_Temp, F,_ETempF,2
Heave,meters,_HeaveM,2
Heave, ft,_HeaveFt,2
Height,meters,_HeightM,2
Height, ft,_HeightFt,2
Distance,meters,_DistM,2
Distance,ft,_DistFt,2
Soil_Moisture,%,_SMoist%,2
Pitch, degrees,_PitchDeg,1
Roll, degrees,_RollDeg,1
Slope, degrees,_SlopeDeg,2
Slope_East, degrees,_SlopeEDeg,2
Slope_North, degrees,_SlopeNDeg,2
Slope_X, degrees,_SlopeXDeg,2
Slope_Y, degrees,_SlopeYDeg,2
Tilt_East, degrees,_TiltEDeg,2
Tilt_North, degrees,_TiltNDeg,2
Tilt_X, degrees,_TiltXDeg,2
Tilt_Y, degrees,_TiltYDeg,2
Barometer, mBar,_BPmBar,1
Wind_Dir, degrees,_WDirD,0
Wind_Speed, knots,_WSpKnot,1
Wind_Speed, m/sec,_WSm/s,1
Wind_Speed, mph,_WSmph,1
Fluorescence, ug/L,_FlourUg/L,5
Free_Space, bytes,_FreeSb,0
Free_Space, KBytes,_FreeSKb,0
Error_Code, Error,_ECode,0
Verify, Verify,_Verify,0
Generic, Gen,_Generic,2
User, User,_User,2
Barometer, kPa,_BPkPa,2
Wind_Speed, km/h,_WSkm/h,1
Resistivity, Ohm.cm,_ROcm,1
TDS, Kg/L,_TDSKg/L,3
DO_Charge, DOchrg,DO_Chrg,0
Chloroform, ppb,_CHLFMppb,1
Ground, Hertz,_GroundHz,3
Full_Scale, Hertz,_FScaleHz,3
PresComp,PresCmp,_PresCmp,5
Nitrate,mV,_NO3-mV,2
Pressure,kPaa,_PresKPaa,2
Pressure,kPag,_PresKPag,2
Pressure,psir,_PresPsir,2
Pressure,kPar,_PresKPar,2
NitrateN,mg/L,_NO3-mg/L,2
Ammonia,mV,_NH3mV,1
Ammonium,mV,_NH4+mV,1
TCE,ppb,_TCEppb,1
TDS,mg/L,_TDSmg/L,1
Pressure,psi,_PresPsi,2
Chloride,mg/L,_Cl-mg/L,2
Chlorophyll,mg/L,_CHLmg/L,1
Calcium,mg/L,_CalcMg/L,1
Sulfide,mg/L,_SulfMg/L,1
Bottle,Bot,_Bottle,0
Site,Sam,_Site,0
Flow,ft3/s,_FlowFt3/s,3
Flow,gal/min,_FlowG/min,2
Flow,Mgal/day,_FlowMg/d,4
Flow,m3/sec,_FlowM3/s,4
Flow,L/s,_FlowL/s,3
Volume,ft3,_VolFt3,1
Volume,gal,_VolGal,1
Volume,m3,_VolM3,1
Volume,L,_VolL,1
Custom__1,Cust 1,_Cust1,2
Custom__2,Cust 2,_Cust2,2
Custom__3,Cust 3,_Cust3,2
Custom__4,Cust 4,_Cust4,2
Custom__5,Cust 5,_Cust5,2
Custom__6,Cust 6,_Cust6,2
Custom__7,Cust 7,_Cust7,2
Custom__8,Cust 8,_Cust8,2
Custom__9,Cust 9,_Cust9,2
Custom_10,Cust 10,_Cust10,2
Custom_11,Cust 11,_Cust11,2
Custom_12,Cust 12,_Cust12,2
Custom_13,Cust 13,_Cust13,2
Custom_14,Cust 14,_Cust14,2
Custom_15,Cust 15,_Cust15,2
Custom_16,Cust 16,_Cust16,2
Custom_17,Cust 17,_Cust17,2
TurbComp,TurbC,_TurbCmp,5
Chloride_nc,mV,_ClmV,1
TDG,mmHg,_TDGmmHg,1
Custom_18,Cust 18,_Cust18,2
Custom_19,Cust 19,_Cust19,2
Custom_20,Cust 20,_Cust20,2
